[49.285280253, -123.143793399]
[49.2852221221, -123.143758514]
[49.2852973139, -123.143759263]
[49.2852241446, -123.143724228]
[49.2853143749, -123.143725127]
[49.2852261672, -123.143689943]
[49.2853314358, -123.143690992]
[49.2852281898, -123.143655657]
[49.2853484967, -123.143656856]
[49.2852302123, -123.143621372]
[49.2853655577, -123.14362272]
[49.2852322349, -123.143587086]
[49.2853826186, -123.143588584]
[49.2852342574, -123.1435528]
[49.2853996796, -123.143554448]
[49.28523628, -123.143518515]
[49.2854167405, -123.143520313]
[49.2852383026, -123.143484229]
[49.2854338014, -123.143486177]
[49.2852403251, -123.143449944]
[49.2854508624, -123.143452041]
[49.2852423477, -123.143415658]
[49.2854679233, -123.143417905]
[49.2852443703, -123.143381372]
[49.2854849842, -123.143383769]
