[49.284636266155, -123.144043077012]
[49.284645247792, -123.144042920292]
[49.284654229430, -123.144042763572]
[49.284663211067, -123.144042606852]
[49.284672192704, -123.144042450132]
[49.284681174342, -123.144042293412]
[49.284690155979, -123.144042136692]
[49.284529607670, -123.144010575565]
[49.284538589308, -123.144010418843]
[49.284547570945, -123.144010262120]
[49.284556552582, -123.144010105398]
[49.284565534220, -123.144009948675]
[49.284574515857, -123.144009791953]
[49.284583497495, -123.144009635230]
[49.284592479132, -123.144009478508]
[49.284601460769, -123.144009321785]
[49.284610442407, -123.144009165062]
[49.284619424044, -123.144009008340]
[49.284628405681, -123.144008851617]
[49.284637387319, -123.144008694894]
[49.284646368956, -123.144008538171]
[49.284655350594, -123.144008381449]
[49.284664332231, -123.144008224726]
[49.284673313868, -123.144008068003]
[49.284682295506, -123.144007911280]
[49.284691277143, -123.144007754557]
[49.284700258780, -123.144007597834]
[49.284709240418, -123.144007441111]
[49.284718222055, -123.144007284388]
[49.284727203692, -123.144007127665]
[49.284736185330, -123.144006970942]
[49.284745166967, -123.144006814219]
[49.284754148605, -123.144006657496]
[49.284763130242, -123.144006500773]
[49.284772111879, -123.144006344050]
[49.284781093517, -123.144006187327]
[49.284790075154, -123.144006030603]
[49.284799056791, -123.144005873880]
[49.284808038429, -123.144005717157]
[49.284817020066, -123.144005560434]
[49.284826001703, -123.144005403710]
[49.284834983341, -123.144005246987]
[49.284843964978, -123.144005090264]
[49.284852946616, -123.144004933540]
[49.284861928253, -123.144004776817]
[49.284530728835, -123.143976193481]
[49.284539710472, -123.143976036755]
[49.284548692109, -123.143975880030]
[49.284557673747, -123.143975723305]
[49.284566655384, -123.143975566579]
[49.284575637021, -123.143975409854]
[49.284584618659, -123.143975253129]
[49.284593600296, -123.143975096403]
[49.284602581933, -123.143974939678]
[49.284611563571, -123.143974782952]
[49.284620545208, -123.143974626227]
[49.284629526845, -123.143974469501]
[49.284638508483, -123.143974312776]
[49.284647490120, -123.143974156050]
[49.284656471757, -123.143973999324]
[49.284665453395, -123.143973842599]
[49.284674435032, -123.143973685873]
[49.284683416669, -123.143973529147]
[49.284692398307, -123.143973372421]
[49.284701379944, -123.143973215696]
[49.284710361582, -123.143973058970]
[49.284719343219, -123.143972902244]
[49.284728324856, -123.143972745518]
[49.284737306494, -123.143972588792]
[49.284746288131, -123.143972432066]
[49.284755269768, -123.143972275340]
[49.284764251406, -123.143972118614]
[49.284773233043, -123.143971961888]
[49.284782214680, -123.143971805162]
[49.284791196318, -123.143971648436]
[49.284800177955, -123.143971491710]
[49.284809159592, -123.143971334984]
[49.284818141230, -123.143971178258]
[49.284827122867, -123.143971021532]
[49.284836104504, -123.143970864805]
[49.284845086142, -123.143970708079]
[49.284854067779, -123.143970551353]
[49.284863049416, -123.143970394627]
[49.284872031054, -123.143970237900]
[49.284881012691, -123.143970081174]
[49.284889994328, -123.143969924447]
[49.284898975966, -123.143969767721]
[49.284907957603, -123.143969610995]
[49.284916939240, -123.143969454268]
[49.284925920878, -123.143969297542]
[49.284934902515, -123.143969140815]
[49.284943884152, -123.143968984089]
[49.284952865790, -123.143968827362]
[49.284961847427, -123.143968670635]
[49.284970829065, -123.143968513909]
[49.284979810702, -123.143968357182]
[49.284988792339, -123.143968200455]
[49.284997773977, -123.143968043729]
[49.285006755614, -123.143967887002]
[49.285015737251, -123.143967730275]
[49.285024718889, -123.143967573548]
[49.285033700526, -123.143967416821]
[49.284531849999, -123.143941811396]
[49.284540831636, -123.143941654667]
[49.284549813273, -123.143941497939]
[49.284558794911, -123.143941341211]
[49.284567776548, -123.143941184483]
[49.284576758185, -123.143941027755]
[49.284585739823, -123.143940871026]
[49.284594721460, -123.143940714298]
[49.284603703097, -123.143940557570]
[49.284612684735, -123.143940400841]
[49.284621666372, -123.143940244113]
[49.284630648009, -123.143940087385]
[49.284639629647, -123.143939930656]
[49.284648611284, -123.143939773928]
[49.284657592921, -123.143939617199]
[49.284666574559, -123.143939460471]
[49.284675556196, -123.143939303742]
